WKT,Airport,Address,Lat/Long Estimated,Stamp Location,Region
"POINT (-119.4119722 48.9589722)",Dorothy Scott Municipal (Oroville) 0S7,,48.9589722, -119.4119722,Stamp is in a lockbox in the new kiosk. Kiosk is on the outside of the fence. Code to lockbox is 1530. Code to re-enter the gate is 153.,North Central
"POINT (-119.4656347 48.7248683)",Tonasket Municipal (W01),,48.7248683, -119.4656347,Stamp is located in the pilot lounge straight ahead as you walk in.,North Central
"POINT (-119.5180556 48.4644167)",Omak (KOMK),,48.4644167, -119.5180556,passport mailbox: stamp is inside the terminal building on the north wall,North Central
"POINT (-120.1458856 48.4249483)",Methow Valley (Winthrop) S52,,48.4249483, -120.1458856,Stamp is located inside the Fuel Dock Please visit https://wsdot.wa.gov/travel/aviation/airports-list/methow-valley-state for more information and if the airport is open.,North Central
"POINT (-120.5020444 48.6495842)",Lost Rver (Mazama) W12,,48.6495842, -120.5020444,Green Mailbox, midfield by tires,North Central
"POINT (-120.0939508 48.3505853)",Twisp Municipal (2S0),,48.3505853, -120.0939508,South side of the airport at the South Airport Entrance. Next to the crew car next to a red shed marked "Fuel",North Central
"POINT (-119.7206128 48.1048681)",Anderson Field (Brewster) S97,,48.1048681, -119.7206128,Mailbox next to the main beacon,North Central
"POINT (-119.6369294 47.8093858)",Mansfield (8W3),,47.8093858, -119.6369294,Tie Down Ramp, mid field,North Central
"POINT (-120.0564628 47.6560044)",Waterville (2S5),,47.6560044, -120.0564628,Green mailbox on north side of tie down ramp,North Central
"POINT (-120.4846667 47.51475)",Cashmere Dryden (8S2),,47.51475, -120.4846667,Stamp is located inside the Cashmere Pilot Lounge on the window seal.,North Central
"POINT (-120.2068333 47.3988056)",Pangborn Memorial (Wenatchee) KEAT,,47.3988056, -120.2068333,Inside 24hr Pilot Lounge
,North Central
"POINT (-119.5169136 47.3080717)",Ephrata Municipal (KEPH),,47.3080717, -119.5169136,In the Pilot lounge at the Ephrata Municipal Airport Administrative building.,North Central
"POINT (-119.3191389 47.2085833)",Grant County International (Moses Lake) KMWH,,47.2085833, -119.3191389,3 Stamp Locations: Columbia Pacific Aviation, Million Air, and Fire Station.,North Central
"POINT (-119.8398333 47.2116111)",Quincy Municipal (80T),,47.2116111, -119.8398333,Mailbox is mounted on the southeast corner of the hangars.
,North Central
"POINT (-119.2378819 47.1420042)",Moses Lake Municipal (W20),,47.1420042, -119.2378819,Stamp is located in a caddy on the brochure rack in the pilots lounge in Operations Building near tie-downs. ,North Central
"POINT (-119.9197261 46.6872511)",Desert Aire (Mattawa) M94,,46.6872511, -119.9197261,Kiosk: SW Transient Parking,North Central
"POINT (-119.0801103 46.7942223)",Othello Municipal (S70),1651 W Bench Road,46.7942223, -119.0801103,Mailbox with stamp at AvGas Fuel Area
,North Central
"POINT (-120.7198942 47.8194136)",Lake Wenatchee State Airport (27W),,47.8194136, -120.7198942,Stamp is located inside a lock box mounted on the visitor information sign. The code is the CTAF.  Please visit https://wsdot.wa.gov/travel/aviation/airports-list/lake-wenatchee-state for more information and if the airport is open.
,North Central
"POINT (-120.7208056 48.3457778)",Stehekin State Airport (6S9),,48.3457778, -120.7208056,CLOSED FOR THE SEASON

Stamp is located inside the guest book box mounted on the visitor information sign. Please visit https://wsdot.wa.gov/travel/aviation/airports-list/stehekin for more information and if the airport is open.
,North Central
"POINT (-119.083 47.9220556)",Grand Coulee Dam (3W7),,47.9220556, -119.083,Located in pilots lounge next to the public restroom building at the south east end of the main ramp area. Door key is 121.5.,North Central
"POINT (-119.9427017 47.8660103)",Lake Chelan Airport (S10),,47.8660103, -119.9427017,The stamp box is located outside of the pilot's lounge by the east side door.  First three digits of the Wenatchee CTAF are 123.,North Central
"POINT (-119.07 46.97)",Warden Airport (2S4),,46.97, -119.07,In mailbox on north side of tall, vertical fuel tank near runup area.,North Central
"POINT (-119.56756 48.3619181)",Okanogan Legion S35,,48.3619181, -119.56756,Stamp located in mailbox by flag pole.
,North Central
